"state","state_abb","date","candidate","col","row","actual","biden_share","sanders_share","other_share","nth_del"
"California","CA",2020-03-03,"Biden",6,28,TRUE,1,0,0,284
"California","CA",2020-03-03,"Biden",7,28,TRUE,1,0,0,285
"California","CA",2020-03-03,"Biden",8,28,TRUE,1,0,0,286
"California","CA",2020-03-03,"Biden",9,28,TRUE,1,0,0,287
"California","CA",2020-03-03,"Biden",10,28,TRUE,1,0,0,288
"California","CA",2020-03-03,"Other",23,12,TRUE,0,0,1,51
"California","CA",2020-03-03,"Other",23,13,TRUE,0,0,1,53
"California","CA",2020-03-03,"Other",23,14,TRUE,0,0,1,55
"California","CA",2020-03-03,"Other",24,14,TRUE,0,0,1,56
"California","CA",2020-03-03,"Other",23,15,TRUE,0,0,1,57
"California","CA",2020-03-03,"Other",24,15,TRUE,0,0,1,58
"California","CA",2020-03-03,"Other",23,16,TRUE,0,0,1,59
"California","CA",2020-03-03,"Other",24,16,TRUE,0,0,1,60
"California","CA",2020-03-03,"Other",23,17,TRUE,0,0,1,61
"California","CA",2020-03-03,"Other",24,17,TRUE,0,0,1,62
"California","CA",2020-03-03,"Other",23,18,TRUE,0,0,1,63
"California","CA",2020-03-03,"Other",24,18,TRUE,0,0,1,64
"California","CA",2020-03-03,"Other",23,19,TRUE,0,0,1,65
"California","CA",2020-03-03,"Other",24,19,TRUE,0,0,1,66
"California","CA",2020-03-03,"Other",23,20,TRUE,0,0,1,67
"California","CA",2020-03-03,"Other",24,20,TRUE,0,0,1,68
"California","CA",2020-03-03,"Other",23,21,TRUE,0,0,1,69
"California","CA",2020-03-03,"Other",24,21,TRUE,0,0,1,70
"California","CA",2020-03-03,"Other",23,22,TRUE,0,0,1,71
"California","CA",2020-03-03,"Other",24,22,TRUE,0,0,1,72
"California","CA",2020-03-03,"Other",23,23,TRUE,0,0,1,73
"California","CA",2020-03-03,"Sanders",10,11,TRUE,0,1,0,78
"California","CA",2020-03-03,"Sanders",11,11,TRUE,0,1,0,79
"California","CA",2020-03-03,"Sanders",12,11,TRUE,0,1,0,80
"California","CA",2020-03-03,"Sanders",13,11,TRUE,0,1,0,81
"California","CA",2020-03-03,"Sanders",14,11,TRUE,0,1,0,82
"California","CA",2020-03-03,"Sanders",15,11,TRUE,0,1,0,83
"California","CA",2020-03-03,"Sanders",16,11,TRUE,0,1,0,84
"California","CA",2020-03-03,"Sanders",17,11,TRUE,0,1,0,85
"California","CA",2020-03-03,"Sanders",18,11,TRUE,0,1,0,86
