"state","state_abb","date","candidate","col","row","actual","biden_share","sanders_share","other_share"
"California","CA",2020-03-03,"Other",24,17,TRUE,0,0,1
"California","CA",2020-03-03,"Other",23,18,TRUE,0,0,1
"California","CA",2020-03-03,"Other",24,18,TRUE,0,0,1
"California","CA",2020-03-03,"Other",23,19,TRUE,0,0,1
"California","CA",2020-03-03,"Other",24,19,TRUE,0,0,1
"California","CA",2020-03-03,"Other",23,20,TRUE,0,0,1
"California","CA",2020-03-03,"Other",24,20,TRUE,0,0,1
"California","CA",2020-03-03,"Other",23,21,TRUE,0,0,1
"California","CA",2020-03-03,"Other",24,21,TRUE,0,0,1
"California","CA",2020-03-03,"Other",23,22,TRUE,0,0,1
"California","CA",2020-03-03,"Other",24,22,TRUE,0,0,1
"California","CA",2020-03-03,"Other",23,23,TRUE,0,0,1
"California","CA",2020-03-03,"Sanders",10,11,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",11,11,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",12,11,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",13,11,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",14,11,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",15,11,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",16,11,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",17,11,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",18,11,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",19,11,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",20,11,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",21,11,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",10,12,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",11,12,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",12,12,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",13,12,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",14,12,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",15,12,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",16,12,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",17,12,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",18,12,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",19,12,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",20,12,TRUE,0,1,0
"California","CA",2020-03-03,"Sanders",21,12,TRUE,0,1,0
