"state","candidate","col","row","actual","biden_share","sanders_share","other_share"
"CA","Sanders",14,17,TRUE,0,1,0
"CA","Sanders",15,17,TRUE,0,1,0
"CA","Sanders",16,17,TRUE,0,1,0
"CA","Sanders",17,17,TRUE,0,1,0
"CA","Sanders",18,17,TRUE,0,1,0
"CA","Sanders",19,17,TRUE,0,1,0
"CA","Sanders",20,17,TRUE,0,1,0
"CA","Sanders",21,17,TRUE,0,1,0
"CA","Sanders",22,17,TRUE,0,1,0
"CA","Sanders",11,18,TRUE,0,1,0
"CA","Sanders",12,18,TRUE,0,1,0
"CA","Sanders",13,18,TRUE,0,1,0
"CA","Sanders",14,18,TRUE,0,1,0
"CA","Sanders",15,18,TRUE,0,1,0
"CA","Sanders",16,18,TRUE,0,1,0
"CA","Sanders",17,18,TRUE,0,1,0
"CA","Sanders",18,18,TRUE,0,1,0
"CA","Sanders",19,18,TRUE,0,1,0
"CA","Sanders",20,18,TRUE,0,1,0
"CA","Sanders",21,18,TRUE,0,1,0
"CA","Sanders",22,18,TRUE,0,1,0
"CA","Sanders",11,19,TRUE,0,1,0
"CA","Sanders",12,19,TRUE,0,1,0
"CA","Sanders",13,19,TRUE,0,1,0
"CA","Sanders",14,19,TRUE,0,1,0
"CA","Sanders",15,19,TRUE,0,1,0
"CA","Sanders",16,19,TRUE,0,1,0
"CA","Sanders",17,19,TRUE,0,1,0
"CA","Sanders",18,19,TRUE,0,1,0
"CA","Sanders",19,19,TRUE,0,1,0
"CA","Sanders",20,19,TRUE,0,1,0
"CA","Sanders",21,19,TRUE,0,1,0
"CA","Sanders",22,19,TRUE,0,1,0
"CA","Sanders",11,20,TRUE,0,1,0
"CA","Sanders",12,20,TRUE,0,1,0
"CA","Sanders",13,20,TRUE,0,1,0
"CA","Sanders",14,20,TRUE,0,1,0
"CA","Sanders",15,20,TRUE,0,1,0
"CA","Sanders",16,20,TRUE,0,1,0
"CA","Sanders",17,20,TRUE,0,1,0
"CA","Sanders",18,20,TRUE,0,1,0
"CA","Sanders",19,20,TRUE,0,1,0
"CA","Sanders",20,20,TRUE,0,1,0
"CA","Sanders",21,20,TRUE,0,1,0
"CA","Sanders",22,20,TRUE,0,1,0
"CA","Sanders",11,21,TRUE,0,1,0
"CA","Sanders",12,21,TRUE,0,1,0
"CA","Sanders",13,21,TRUE,0,1,0
"CA","Sanders",14,21,TRUE,0,1,0
"CA","Sanders",15,21,TRUE,0,1,0
"CA","Sanders",16,21,TRUE,0,1,0
"CA","Sanders",17,21,TRUE,0,1,0
"CA","Sanders",18,21,TRUE,0,1,0
"CA","Sanders",19,21,TRUE,0,1,0
"CA","Sanders",20,21,TRUE,0,1,0
"CA","Sanders",21,21,TRUE,0,1,0
"CA","Sanders",22,21,TRUE,0,1,0
"CA","Sanders",11,22,TRUE,0,1,0
"CA","Sanders",12,22,TRUE,0,1,0
"CA","Sanders",13,22,TRUE,0,1,0
"CA","Sanders",14,22,TRUE,0,1,0
"CA","Sanders",15,22,TRUE,0,1,0
"CA","Sanders",16,22,TRUE,0,1,0
"CA","Sanders",17,22,TRUE,0,1,0
"CA","Sanders",18,22,TRUE,0,1,0
"CA","Sanders",19,22,TRUE,0,1,0
"CA","Sanders",20,22,TRUE,0,1,0
"CA","Sanders",21,22,TRUE,0,1,0
"CA","Sanders",22,22,TRUE,0,1,0
"CA","Sanders",11,23,TRUE,0,1,0
"CA","Sanders",12,23,TRUE,0,1,0
"CA","Sanders",13,23,TRUE,0,1,0
"CA","Sanders",14,23,TRUE,0,1,0
"CA","Sanders",15,23,TRUE,0,1,0
