"state","state_abb","date","primary","candidate","col","row","actual","biden_share","sanders_share","other_share","nth_del"
"California","CA",2020-03-03,TRUE,"Biden",9,14,TRUE,1,0,0,151
"California","CA",2020-03-03,TRUE,"Biden",1,15,TRUE,1,0,0,152
"California","CA",2020-03-03,TRUE,"Biden",2,15,TRUE,1,0,0,153
"California","CA",2020-03-03,TRUE,"Biden",3,15,TRUE,1,0,0,154
"California","CA",2020-03-03,TRUE,"Biden",4,15,TRUE,1,0,0,155
"California","CA",2020-03-03,TRUE,"Biden",5,15,TRUE,1,0,0,156
"California","CA",2020-03-03,TRUE,"Biden",6,15,TRUE,1,0,0,157
"California","CA",2020-03-03,TRUE,"Biden",7,15,TRUE,1,0,0,158
"California","CA",2020-03-03,TRUE,"Biden",8,15,TRUE,1,0,0,159
"California","CA",2020-03-03,TRUE,"Biden",9,15,TRUE,1,0,0,160
"California","CA",2020-03-03,TRUE,"Biden",1,16,TRUE,1,0,0,161
"California","CA",2020-03-03,TRUE,"Biden",2,16,TRUE,1,0,0,162
"California","CA",2020-03-03,TRUE,"Biden",3,16,TRUE,1,0,0,163
"California","CA",2020-03-03,TRUE,"Biden",4,16,TRUE,1,0,0,164
"California","CA",2020-03-03,TRUE,"Biden",5,16,TRUE,1,0,0,165
"California","CA",2020-03-03,TRUE,"Biden",6,16,TRUE,1,0,0,166
"California","CA",2020-03-03,TRUE,"Biden",7,16,TRUE,1,0,0,167
"California","CA",2020-03-03,TRUE,"Biden",8,16,TRUE,1,0,0,168
"California","CA",2020-03-03,TRUE,"Biden",9,16,TRUE,1,0,0,169
"California","CA",2020-03-03,TRUE,"Biden",1,17,TRUE,1,0,0,170
"California","CA",2020-03-03,TRUE,"Biden",2,17,TRUE,1,0,0,171
"California","CA",2020-03-03,TRUE,"Biden",3,17,TRUE,1,0,0,172
"California","CA",2020-03-03,TRUE,"Biden",4,17,TRUE,1,0,0,173
"California","CA",2020-03-03,TRUE,"Biden",5,17,TRUE,1,0,0,174
"California","CA",2020-03-03,TRUE,"Biden",6,17,TRUE,1,0,0,175
"California","CA",2020-03-03,TRUE,"Biden",7,17,TRUE,1,0,0,176
"California","CA",2020-03-03,TRUE,"Biden",8,17,TRUE,1,0,0,177
"California","CA",2020-03-03,TRUE,"Biden",9,17,TRUE,1,0,0,178
"California","CA",2020-03-03,TRUE,"Biden",1,18,TRUE,1,0,0,179
"California","CA",2020-03-03,TRUE,"Biden",2,18,TRUE,1,0,0,180
"California","CA",2020-03-03,TRUE,"Biden",3,18,TRUE,1,0,0,181
"California","CA",2020-03-03,TRUE,"Biden",4,18,TRUE,1,0,0,182
"California","CA",2020-03-03,TRUE,"Biden",5,18,TRUE,1,0,0,183
"California","CA",2020-03-03,TRUE,"Biden",6,18,TRUE,1,0,0,184
"California","CA",2020-03-03,TRUE,"Biden",7,18,TRUE,1,0,0,185
"California","CA",2020-03-03,TRUE,"Biden",8,18,TRUE,1,0,0,186
"California","CA",2020-03-03,TRUE,"Biden",9,18,TRUE,1,0,0,187
"California","CA",2020-03-03,TRUE,"Biden",10,18,TRUE,1,0,0,188
"California","CA",2020-03-03,TRUE,"Biden",1,19,TRUE,1,0,0,189
"California","CA",2020-03-03,TRUE,"Biden",2,19,TRUE,1,0,0,190
"California","CA",2020-03-03,TRUE,"Biden",3,19,TRUE,1,0,0,191
"California","CA",2020-03-03,TRUE,"Biden",4,19,TRUE,1,0,0,192
"California","CA",2020-03-03,TRUE,"Biden",5,19,TRUE,1,0,0,193
"California","CA",2020-03-03,TRUE,"Biden",6,19,TRUE,1,0,0,194
"California","CA",2020-03-03,TRUE,"Biden",7,19,TRUE,1,0,0,195
"California","CA",2020-03-03,TRUE,"Biden",8,19,TRUE,1,0,0,196
"California","CA",2020-03-03,TRUE,"Biden",9,19,TRUE,1,0,0,197
"California","CA",2020-03-03,TRUE,"Biden",10,19,TRUE,1,0,0,198
"California","CA",2020-03-03,TRUE,"Biden",1,20,TRUE,1,0,0,199
"California","CA",2020-03-03,TRUE,"Biden",2,20,TRUE,1,0,0,200
"California","CA",2020-03-03,TRUE,"Biden",3,20,TRUE,1,0,0,201
"California","CA",2020-03-03,TRUE,"Biden",4,20,TRUE,1,0,0,202
"California","CA",2020-03-03,TRUE,"Biden",5,20,TRUE,1,0,0,203
"California","CA",2020-03-03,TRUE,"Biden",6,20,TRUE,1,0,0,204
"California","CA",2020-03-03,TRUE,"Biden",7,20,TRUE,1,0,0,205
"California","CA",2020-03-03,TRUE,"Biden",8,20,TRUE,1,0,0,206
"California","CA",2020-03-03,TRUE,"Biden",9,20,TRUE,1,0,0,207
