league,year,team,city,state,lat,lng
NHL,1991,Pittsburgh Penguins,Pittsburgh,PA,40.4406,-79.9959
MLB,1992,Toronto Blue Jays,Toronto,CAN,43.6532,-79.3832
NBA,1992,Chicago Bulls,Chicago,IL,41.8781,-87.6298
NFL,1992,Washington Redskins,Washington,DC,38.9072,-77.0369
NHL,1992,Pittsburgh Penguins,Pittsburgh,PA,40.4406,-79.9959
MLB,1993,Toronto Blue Jays,Toronto,CAN,43.6532,-79.3832
NBA,1993,Chicago Bulls,Chicago,IL,41.8781,-87.6298
NFL,1993,Dallas Cowboys,Dallas,TX,32.7767,-96.797
NHL,1993,Montreal Canadiens,Montreal,CAN,45.5017,-73.5673
MLB,1994,N/A,,,,
NBA,1994,Houston Rockets,Houston,TX,29.7604,-95.3698
NFL,1994,Dallas Cowboys,Dallas,TX,32.7767,-96.797
NHL,1994,New York Rangers,New York,NY,40.7128,-74.0059
MLB,1995,Atlanta Braves,Atlanta,GA,33.749,-84.388
NBA,1995,Houston Rockets,Houston,TX,29.7604,-95.3698
NFL,1995,San Francisco 49ers,San Francisco,CA,37.7749,-112.4194
NHL,1995,New Jersey Devils,Newark,NJ,40.7357,-74.1724
MLB,1996,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1996,Chicago Bulls,Chicago,IL,41.8781,-87.6298
NFL,1996,Dallas Cowboys,Dallas,TX,32.7767,-96.797
NHL,1996,Colorado Avalanche,Denver,CO,39.7392,-104.9903
MLB,1997,Florida Marlins,Miami,FL,25.7617,-80.1918
NBA,1997,Chicago Bulls,Chicago,IL,41.8781,-87.6298
NFL,1997,Green Bay Packers,Green Bay,WI,44.5192,-88.0198
NHL,1997,Detroit Red Wings,Detroit,MI,42.3314,-83.0458
MLB,1998,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1998,Chicago Bulls,Chicago,IL,41.8781,-87.6298
NFL,1998,Denver Broncos,Denver,CO,39.7392,-104.9903
NHL,1998,Detroit Red Wings,Detroit,MI,42.3314,-83.0458
MLB,1999,New York Yankees,New York,NY,40.7128,-74.0059
NBA,1999,San Antonio Spurs,San Antonio,TX,29.4241,-98.4936
NFL,1999,Denver Broncos,Denver,CO,39.7392,-104.9903
NHL,1999,Dallas Stars,Dallas,TX,32.7767,-96.797
MLB,2000,New York Yankees,New York,NY,40.7128,-74.0059
NBA,2000,Los Angeles Lakers,Los Angeles,CA,34.0522,-118.2437
NFL,2000,St. Louis Rams,St. Louis,MO,38.627,-90.1994
NHL,2000,New Jersey Devils,Newark,NJ,40.7357,-74.1724
MLB,2001,Arizona Diamondbacks,Phoenix,AZ,33.4484,-112.074
NBA,2001,Los Angeles Lakers,Los Angeles,CA,34.0522,-118.2437
NFL,2001,Baltimore Ravens,Baltimore,MD,39.2904,-76.6122
NHL,2001,Colorado Avalanche,Denver,CO,39.7392,-104.9903
MLB,2002,Anaheim Angels,Anaheim,CA,33.8353,-117.9145
NBA,2002,Los Angeles Lakers,Los Angeles,CA,34.0522,-118.2437
NFL,2002,New England Patriots,Boston,MA,42.3601,-71.0589
NHL,2002,Detroit Red Wings,Detroit,MI,42.3314,-83.0458
MLB,2003,Florida Marlins,Miami,FL,25.7617,-80.1918
NBA,2003,San Antonio Spurs,San Antonio,TX,29.4241,-98.4936
NFL,2003,Tampa Bay Buccaneers,Tampa Bay,FL,27.7634,-82.5437
NHL,2003,New Jersey Devils,Newark,NJ,40.7357,-74.1724
