"","Code-3","Country","Code-2","Sport","Games","G","S","B","Year"
"235","FRA","France","FR","Snowboard","Turin 2006",0,0,1,2006
"236","GBR","United Kingdom","GB","Skeleton","Turin 2006",0,1,0,2006
"237","GER","Germany","DE","Biathlon","Turin 2006",5,4,2,2006
"238","GER","Germany","DE","Bobsleigh","Turin 2006",3,0,0,2006
"239","GER","Germany","DE","Cross-Country Skiing","Turin 2006",0,3,1,2006
"240","GER","Germany","DE","Luge","Turin 2006",1,2,1,2006
"241","GER","Germany","DE","Snowboard","Turin 2006",0,1,0,2006
"242","GER","Germany","DE","Speed Skating","Turin 2006",1,1,1,2006
"243","ITA","Italy","IT","Bobsleigh","Turin 2006",0,0,1,2006
"244","ITA","Italy","IT","Cross-Country Skiing","Turin 2006",2,0,2,2006
"245","ITA","Italy","IT","Luge","Turin 2006",1,0,1,2006
"246","ITA","Italy","IT","Short Track Speed Skating","Turin 2006",0,0,1,2006
"247","ITA","Italy","IT","Speed Skating","Turin 2006",2,0,1,2006
"248","JPN","Japan","JP","Figure Skating","Turin 2006",1,0,0,2006
"249","KOR","Korea","KR","Short Track Speed Skating","Turin 2006",6,3,1,2006
"250","LAT","Latvia","LV","Luge","Turin 2006",0,0,1,2006
"251","NED","Netherlands","NL","Speed Skating","Turin 2006",3,2,4,2006
"252","NOR","Norway","NO","Alpine Skiing","Turin 2006",1,0,0,2006
"253","NOR","Norway","NO","Biathlon","Turin 2006",0,3,3,2006
"254","NOR","Norway","NO","Cross-Country Skiing","Turin 2006",0,2,1,2006
"255","NOR","Norway","NO","Freestyle Skiing","Turin 2006",0,1,0,2006
"256","NOR","Norway","NO","Ski Jumping","Turin 2006",1,0,3,2006
"257","NOR","Norway","NO","Snowboard","Turin 2006",0,0,1,2006
"258","POL","Poland","PL","Biathlon","Turin 2006",0,1,0,2006
"259","POL","Poland","PL","Cross-Country Skiing","Turin 2006",0,0,1,2006
"260","RUS","Russia","RU","Biathlon","Turin 2006",2,1,2,2006
"261","RUS","Russia","RU","Bobsleigh","Turin 2006",0,1,0,2006
"262","RUS","Russia","RU","Cross-Country Skiing","Turin 2006",2,2,2,2006
"263","RUS","Russia","RU","Figure Skating","Turin 2006",3,0,1,2006
"264","RUS","Russia","RU","Freestyle Skiing","Turin 2006",0,0,1,2006
"265","RUS","Russia","RU","Luge","Turin 2006",0,1,0,2006
"266","RUS","Russia","RU","Speed Skating","Turin 2006",0,0,1,2006
"267","SUI","Switzerland","CH","Alpine Skiing","Turin 2006",0,1,2,2006
"268","SUI","Switzerland","CH","Bobsleigh","Turin 2006",0,0,2,2006
"269","SUI","Switzerland","CH","Curling","Turin 2006",0,1,0,2006
"270","SUI","Switzerland","CH","Figure Skating","Turin 2006",0,1,0,2006
"271","SUI","Switzerland","CH","Freestyle Skiing","Turin 2006",1,0,0,2006
"272","SUI","Switzerland","CH","Skeleton","Turin 2006",1,0,1,2006
"273","SUI","Switzerland","CH","Snowboard","Turin 2006",3,1,0,2006
"274","SVK","Slovakia","SK","Snowboard","Turin 2006",0,1,0,2006
"275","SWE","Sweden","SE","Alpine Skiing","Turin 2006",1,0,3,2006
"276","SWE","Sweden","SE","Biathlon","Turin 2006",1,1,0,2006
"277","SWE","Sweden","SE","Cross-Country Skiing","Turin 2006",1,0,2,2006
"278","SWE","Sweden","SE","Curling","Turin 2006",1,0,0,2006
"279","SWE","Sweden","SE","Ice Hockey","Turin 2006",1,1,0,2006
"280","UKR","Ukraine","UA","Biathlon","Turin 2006",0,0,1,2006
"281","UKR","Ukraine","UA","Figure Skating","Turin 2006",0,0,1,2006
"282","USA","United States","US","Alpine Skiing","Turin 2006",2,0,0,2006
"283","USA","United States","US","Bobsleigh","Turin 2006",0,1,0,2006
"284","USA","United States","US","Curling","Turin 2006",0,0,1,2006
"285","USA","United States","US","Figure Skating","Turin 2006",0,2,0,2006
"286","USA","United States","US","Freestyle Skiing","Turin 2006",0,0,1,2006
"287","USA","United States","US","Ice Hockey","Turin 2006",0,0,1,2006
"288","USA","United States","US","Short Track Speed Skating","Turin 2006",1,0,2,2006
"289","USA","United States","US","Snowboard","Turin 2006",3,3,1,2006
"290","USA","United States","US","Speed Skating","Turin 2006",2,3,1,2006
"291","AUS","Australia","AU","Freestyle Skiing","Salt Lake City 2002",1,0,0,2002
"292","AUS","Australia","AU","Short Track Speed Skating","Salt Lake City 2002",1,0,0,2002
"293","AUT","Austria","AT","Alpine Skiing","Salt Lake City 2002",2,1,4,2002
"294","AUT","Austria","AT","Biathlon","Salt Lake City 2002",0,0,1,2002
